[964315] ['1/7', '2/9', '5/3', '7/4', '9/7'] -> (9/7 / ((1/7 * (7/4 - 5/3)) / 2/9))
[964321] ['1/7', '2/9', '5/3', '7/5', '8/3'] -> (8/3 / (((1/7 * 5/3) * 7/5) - 2/9))
[964323] ['1/7', '2/9', '5/3', '7/5', '8/7'] -> (8/7 / (1/7 - ((2/9 / 5/3) / 7/5)))
[964324] ['1/7', '2/9', '5/3', '7/5', '8/9'] -> (8/9 / (5/3 * (2/9 - (1/7 * 7/5))))
[964335] ['1/7', '2/9', '5/3', '7/6', '8/7'] -> (8/7 / ((1/7 * 5/3) - (2/9 / 7/6)))
[964344] ['1/7', '2/9', '5/3', '7/8', '8/3'] -> (8/3 / (((2/9 / 1/7) / 7/8) - 5/3))
[964345] ['1/7', '2/9', '5/3', '7/8', '8/5'] -> ((5/3 / ((2/9 / 7/8) - 1/7)) * 8/5)
[964354] ['1/7', '2/9', '5/3', '7/9', '8/3'] -> ((((5/3 / 7/9) - 1/7) / 2/9) * 8/3)
[964355] ['1/7', '2/9', '5/3', '7/9', '8/5'] -> ((5/3 / (2/9 - (1/7 * 7/9))) * 8/5)
[964359] ['1/7', '2/9', '5/3', '7/9', '9/4'] -> ((((5/3 / 1/7) - 2/9) - 7/9) * 9/4)
[964361] ['1/7', '2/9', '5/3', '7/9', '9/7'] -> (9/7 / (1/7 / ((2/9 + 5/3) + 7/9)))
[964362] ['1/7', '2/9', '5/3', '7/9', '9/8'] -> (((5/3 / (2/9 - 1/7)) / 7/9) / 9/8)
[964363] ['1/7', '2/9', '5/3', '8/3', '8/3'] -> (8/3 / (1/7 * ((8/3 - 2/9) - 5/3)))
[964365] ['1/7', '2/9', '5/3', '8/3', '8/7'] -> (8/7 / (((1/7 * 8/3) / 2/9) - 5/3))
[964391] ['1/7', '2/9', '5/3', '8/9', '9/7'] -> (9/7 / (((2/9 - 1/7) / 5/3) / 8/9))
[964393] ['1/7', '2/9', '5/3', '9/2', '9/2'] -> ((((2/9 * 9/2) / 1/7) - 5/3) * 9/2)
[964394] ['1/7', '2/9', '5/3', '9/2', '9/4'] -> (((5/3 / 1/7) - (2/9 * 9/2)) * 9/4)
[964406] ['1/7', '2/9', '5/3', '9/7', '9/8'] -> (((5/3 * 9/7) / (2/9 - 1/7)) / 9/8)
[964422] ['1/7', '2/9', '5/4', '5/4', '8/3'] -> ((8/3 / 1/7) / ((5/4 / 5/4) - 2/9))
[964432] ['1/7', '2/9', '5/4', '5/6', '5/7'] -> (5/7 / (5/6 - ((1/7 * 5/4) / 2/9)))
[964442] ['1/7', '2/9', '5/4', '5/6', '7/8'] -> ((((5/6 / 1/7) / 2/9) / 5/4) / 7/8)
[964446] ['1/7', '2/9', '5/4', '5/6', '8/7'] -> ((((5/6 / 1/7) / 2/9) / 5/4) * 8/7)
[964449] ['1/7', '2/9', '5/4', '5/6', '9/4'] -> (((5/4 + 5/6) / (2/9 - 1/7)) - 9/4)
[964496] ['1/7', '2/9', '5/4', '5/9', '6/7'] -> (6/7 / ((1/7 * (5/4 + 5/9)) - 2/9))
[964524] ['1/7', '2/9', '5/4', '6/5', '8/7'] -> (8/7 / (((1/7 * 2/9) * 5/4) * 6/5))
[964533] ['1/7', '2/9', '5/4', '6/7', '7/3'] -> (7/3 / ((2/9 / 1/7) - (5/4 / 6/7)))
[964534] ['1/7', '2/9', '5/4', '6/7', '7/4'] -> ((((6/7 / 1/7) / 2/9) - 5/4) - 7/4)
[964539] ['1/7', '2/9', '5/4', '6/7', '8/3'] -> (8/3 / ((2/9 * 5/4) - (1/7 / 6/7)))
[964544] ['1/7', '2/9', '5/4', '6/7', '9/4'] -> ((5/4 / ((2/9 * 6/7) - 1/7)) - 9/4)
[964546] ['1/7', '2/9', '5/4', '6/7', '9/7'] -> (9/7 / (6/7 - ((1/7 * 5/4) / 2/9)))
[964554] ['1/7', '2/9', '5/4', '7/2', '7/9'] -> (((2/9 * 5/4) + (7/2 / 1/7)) - 7/9)
[964555] ['1/7', '2/9', '5/4', '7/2', '8/3'] -> (8/3 / (2/9 * (1/7 + (5/4 / 7/2))))
[964557] ['1/7', '2/9', '5/4', '7/2', '8/7'] -> (8/7 / (2/9 * ((5/4 / 7/2) - 1/7)))
[964571] ['1/7', '2/9', '5/4', '7/3', '8/5'] -> (8/5 / (1/7 - ((2/9 / 5/4) / 7/3)))
[964575] ['1/7', '2/9', '5/4', '7/3', '9/4'] -> ((5/4 / (1/7 - (2/9 / 7/3))) - 9/4)
[964584] ['1/7', '2/9', '5/4', '7/4', '8/3'] -> (((5/4 / (2/9 - 1/7)) / 7/4) * 8/3)
[964606] ['1/7', '2/9', '5/4', '7/6', '7/6'] -> ((((7/6 / 2/9) - 5/4) / 1/7) / 7/6)
[964609] ['1/7', '2/9', '5/4', '7/6', '8/3'] -> (8/3 / ((2/9 * 5/4) - (1/7 * 7/6)))
[964614] ['1/7', '2/9', '5/4', '7/6', '9/4'] -> ((5/4 / ((2/9 / 7/6) - 1/7)) - 9/4)
[964616] ['1/7', '2/9', '5/4', '7/6', '9/7'] -> (9/7 / ((1/7 * (5/4 - 7/6)) / 2/9))
[964620] ['1/7', '2/9', '5/4', '7/8', '8/3'] -> (8/3 / (((2/9 * 7/8) / 1/7) - 5/4))
[964631] ['1/7', '2/9', '5/4', '7/9', '8/5'] -> (8/5 / ((2/9 / 5/4) - (1/7 * 7/9)))
[964641] ['1/7', '2/9', '5/4', '8/3', '8/7'] -> ((5/4 / (1/7 - (2/9 / 8/3))) * 8/7)
