[475307] ['1/4', '1/9', '2/7', '3/7', '7/9'] -> ((2/7 / ((1/9 / 3/7) - 1/4)) * 7/9)
[475312] ['1/4', '1/9', '2/7', '3/7', '9/2'] -> (((3/7 / (2/7 - 1/4)) / 1/9) / 9/2)
[475315] ['1/4', '1/9', '2/7', '3/7', '9/7'] -> ((2/7 / ((1/9 / 3/7) - 1/4)) / 9/7)
[475322] ['1/4', '1/9', '2/7', '3/8', '5/2'] -> (5/2 / (1/4 - ((1/9 * 3/8) / 2/7)))
[475324] ['1/4', '1/9', '2/7', '3/8', '5/4'] -> (5/4 / (((1/9 / 2/7) - 1/4) * 3/8))
[475325] ['1/4', '1/9', '2/7', '3/8', '5/6'] -> (5/6 / ((1/4 * 2/7) * (1/9 + 3/8)))
[475326] ['1/4', '1/9', '2/7', '3/8', '5/7'] -> (5/7 / ((1/4 * 2/7) - (1/9 * 3/8)))
[475340] ['1/4', '1/9', '2/7', '3/8', '8/7'] -> ((((1/4 / 1/9) / 2/7) / 3/8) * 8/7)
[475347] ['1/4', '1/9', '2/7', '4/3', '4/3'] -> (4/3 / ((1/9 / 2/7) - (1/4 * 4/3)))
[475349] ['1/4', '1/9', '2/7', '4/3', '4/7'] -> ((((2/7 * 4/3) / 1/4) / 1/9) / 4/7)
[475351] ['1/4', '1/9', '2/7', '4/3', '5/2'] -> (5/2 / (((1/9 / 2/7) - 1/4) / 4/3))
[475352] ['1/4', '1/9', '2/7', '4/3', '5/3'] -> (5/3 / (4/3 - ((1/4 + 1/9) / 2/7)))
[475362] ['1/4', '1/9', '2/7', '4/3', '7/4'] -> ((((2/7 * 4/3) / 1/4) / 1/9) * 7/4)
[475376] ['1/4', '1/9', '2/7', '4/5', '4/5'] -> (4/5 / ((1/9 * 2/7) * (1/4 + 4/5)))
[475397] ['1/4', '1/9', '2/7', '4/5', '8/7'] -> (8/7 / ((1/4 + 2/7) * (1/9 * 4/5)))
[475404] ['1/4', '1/9', '2/7', '4/7', '4/7'] -> (4/7 / ((1/4 * 1/9) * (2/7 + 4/7)))
[475406] ['1/4', '1/9', '2/7', '4/7', '5/2'] -> (5/2 / ((1/4 + 2/7) * (1/9 / 4/7)))
